+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 377   | 0   | 138  | 0   | 239 | 0   | GET    | /api/isu                                            | 0.024 | 1.356 | 268.673 | 0.713 | 1.000 | 1.004 | 1.004 | 0.393  | 0.000      | 4730.000   | 363288.000   | 963.629    |
| 48    | 0   | 9    | 0   | 39  | 0   | GET    | /api/trend                                          | 0.024 | 1.004 | 39.964  | 0.833 | 1.004 | 1.004 | 1.004 | 0.350  | 0.000      | 4570.000   | 40028.000    | 833.917    |
| 1385  | 0   | 1293 | 0   | 92  | 0   | POST   | /api/condition/8eb09f36-655e-44f5-81c2-0681d65552c1 | 0.056 | 0.104 | 14.584  | 0.011 | 0.024 | 0.100 | 0.104 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1390  | 0   | 1297 | 0   | 93  | 0   | POST   | /api/condition/39bb5f7d-97c9-4fb8-aba7-ee473959cc39 | 0.008 | 0.144 | 14.297  | 0.010 | 0.016 | 0.100 | 0.104 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1385  | 0   | 1295 | 0   | 90  | 0   | POST   | /api/condition/ebabc9c8-d8c6-41ff-b75a-d4303d03f849 | 0.000 | 0.104 | 14.072  | 0.010 | 0.032 | 0.100 | 0.104 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1386  | 0   | 1298 | 0   | 88  | 0   | POST   | /api/condition/33226d6e-ad67-4766-ba20-aaedb3775f24 | 0.004 | 0.104 | 13.872  | 0.010 | 0.016 | 0.100 | 0.104 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1380  | 0   | 1288 | 0   | 92  | 0   | POST   | /api/condition/39758daa-f681-42e1-b9c7-e8314452c0f5 | 0.004 | 0.108 | 13.696  | 0.010 | 0.024 | 0.100 | 0.104 | 0.027  | 0.000      | 14.000     | 14.000       | 0.010      |
| 1400  | 0   | 1318 | 0   | 82  | 0   | POST   | /api/condition/8b1cf932-d1b9-47e3-a4d1-f4ba343238ca | 0.080 | 0.104 | 13.632  | 0.010 | 0.008 | 0.100 | 0.104 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1387  | 0   | 1299 | 0   | 88  | 0   | POST   | /api/condition/56a65de5-9960-431f-ab2d-8248bafdedfe | 0.000 | 0.108 | 13.536  | 0.010 | 0.012 | 0.100 | 0.104 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1383  | 0   | 1286 | 0   | 97  | 0   | POST   | /api/condition/f3788a51-9bcf-4bb7-ba6d-93007cfe6a58 | 0.044 | 0.104 | 13.376  | 0.010 | 0.036 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1402  | 0   | 1320 | 0   | 82  | 0   | POST   | /api/condition/b3c5d7d4-a55c-4fc5-85bd-287417354842 | 0.004 | 0.104 | 13.116  | 0.009 | 0.008 | 0.100 | 0.104 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1403  | 0   | 1325 | 0   | 78  | 0   | POST   | /api/condition/ee10b933-8c51-4e77-a255-8045459e0660 | 0.004 | 0.108 | 13.060  | 0.009 | 0.012 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1388  | 0   | 1287 | 0   | 101 | 0   | POST   | /api/condition/f9096089-db20-4d83-8a87-1dc3a8be2c14 | 0.020 | 0.104 | 12.996  | 0.009 | 0.028 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1394  | 0   | 1319 | 0   | 75  | 0   | POST   | /api/condition/82b0f97c-939d-4895-9b22-28a7cc2a4c8d | 0.004 | 0.104 | 12.956  | 0.009 | 0.008 | 0.100 | 0.104 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 196   | 0   | 73   | 0   | 123 | 0   | POST   | /api/auth                                           | 0.004 | 2.156 | 12.920  | 0.066 | 0.100 | 0.380 | 1.000 | 0.216  | 0.000      | 19.000     | 1380.000     | 7.041      |
| 1379  | 0   | 1281 | 0   | 98  | 0   | POST   | /api/condition/0ad00f02-3d9c-4bdb-adf2-d5093c9498aa | 0.000 | 0.112 | 12.840  | 0.009 | 0.032 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1393  | 0   | 1314 | 0   | 79  | 0   | POST   | /api/condition/6c13f1e3-8034-4516-b470-e26567142fe8 | 0.016 | 0.104 | 12.840  | 0.009 | 0.012 | 0.100 | 0.104 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1390  | 0   | 1297 | 0   | 93  | 0   | POST   | /api/condition/94a8b5d1-44e1-4b21-a5b0-62a83ae79869 | 0.000 | 0.112 | 12.768  | 0.009 | 0.028 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1367  | 0   | 1268 | 0   | 99  | 0   | POST   | /api/condition/0301b118-d5a8-49ab-aa71-e0212995ba4c | 0.000 | 0.100 | 12.728  | 0.009 | 0.028 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1416  | 0   | 1338 | 0   | 78  | 0   | POST   | /api/condition/f7393842-ad10-423d-bb37-34a2dd185dd9 | 0.000 | 0.104 | 12.704  | 0.009 | 0.008 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1393  | 0   | 1300 | 0   | 93  | 0   | POST   | /api/condition/34c761d4-df6e-4273-bf68-2b24c5542b39 | 0.056 | 0.132 | 12.700  | 0.009 | 0.024 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1390  | 0   | 1304 | 0   | 86  | 0   | POST   | /api/condition/647dffc5-910c-4216-8258-f0e1e65bbe8f | 0.000 | 0.104 | 12.676  | 0.009 | 0.028 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1392  | 0   | 1308 | 0   | 84  | 0   | POST   | /api/condition/7dc95246-b1be-47d0-b68a-7907c85224a2 | 0.000 | 0.108 | 12.428  | 0.009 | 0.012 | 0.100 | 0.104 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1382  | 0   | 1289 | 0   | 93  | 0   | POST   | /api/condition/8c93c74e-2ef4-49a6-8ede-d57c53ca2b53 | 0.004 | 0.104 | 12.413  | 0.009 | 0.028 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1398  | 0   | 1315 | 0   | 83  | 0   | POST   | /api/condition/31e9820b-fb52-4fe9-a53a-8c3076463ba0 | 0.000 | 0.104 | 12.404  | 0.009 | 0.020 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1378  | 0   | 1283 | 0   | 95  | 0   | POST   | /api/condition/af4dd2b8-1686-4a00-8bc2-5a9e7a9d7ced | 0.012 | 0.104 | 12.308  | 0.009 | 0.024 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1401  | 0   | 1318 | 0   | 83  | 0   | POST   | /api/condition/7ab06d72-e930-450c-95a2-3bec84beab49 | 0.000 | 0.105 | 12.025  | 0.009 | 0.008 | 0.100 | 0.104 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1387  | 0   | 1298 | 0   | 89  | 0   | POST   | /api/condition/1ba59168-2ef1-4098-a524-3e5bd4f9f6bf | 0.000 | 0.104 | 12.016  | 0.009 | 0.020 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1396  | 0   | 1304 | 0   | 92  | 0   | POST   | /api/condition/de2c2d55-84eb-40a2-bf93-419c12846f3d | 0.000 | 0.144 | 12.004  | 0.009 | 0.020 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1386  | 0   | 1299 | 0   | 87  | 0   | POST   | /api/condition/b698fd95-03b7-40ba-a5b4-4a1e02ebef70 | 0.100 | 0.104 | 11.944  | 0.009 | 0.020 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1388  | 0   | 1298 | 0   | 90  | 0   | POST   | /api/condition/cd253b4d-6c0c-4066-9184-4d35398ce03c | 0.000 | 0.124 | 11.920  | 0.009 | 0.020 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1399  | 0   | 1316 | 0   | 83  | 0   | POST   | /api/condition/05b77c24-847f-4072-98d2-122edc8159ea | 0.000 | 0.104 | 11.836  | 0.008 | 0.020 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1388  | 0   | 1312 | 0   | 76  | 0   | POST   | /api/condition/74ea5c7a-0b3a-440c-94b4-881713a26157 | 0.000 | 0.104 | 11.780  | 0.008 | 0.008 | 0.100 | 0.104 | 0.024  | 0.000      | 14.000     | 14.000       | 0.010      |
| 1398  | 0   | 1318 | 0   | 80  | 0   | POST   | /api/condition/ea03ebbe-3397-44b8-80b6-61d73d1d1de9 | 0.000 | 0.120 | 11.756  | 0.008 | 0.012 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1379  | 0   | 1293 | 0   | 86  | 0   | POST   | /api/condition/640dc4f0-5362-4736-8bda-9a5e48d05845 | 0.000 | 0.100 | 11.656  | 0.008 | 0.016 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1397  | 0   | 1318 | 0   | 79  | 0   | POST   | /api/condition/ffb235af-912a-4f85-83e3-1ee61a3698bb | 0.000 | 0.112 | 11.592  | 0.008 | 0.016 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1392  | 0   | 1306 | 0   | 86  | 0   | POST   | /api/condition/f35712b9-4810-4d17-9267-69c79d356daf | 0.004 | 0.104 | 11.492  | 0.008 | 0.008 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1396  | 0   | 1318 | 0   | 78  | 0   | POST   | /api/condition/8091832c-87cf-488d-816a-f2c315031e6b | 0.000 | 0.104 | 11.376  | 0.008 | 0.012 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1402  | 0   | 1316 | 0   | 86  | 0   | POST   | /api/condition/1b6187f8-312b-46b1-b3c5-1fecec43d86c | 0.000 | 0.108 | 11.372  | 0.008 | 0.012 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1408  | 0   | 1328 | 0   | 80  | 0   | POST   | /api/condition/690392dd-b412-4b85-be34-8e82e2b32a30 | 0.000 | 0.104 | 11.261  | 0.008 | 0.012 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1401  | 0   | 1322 | 0   | 79  | 0   | POST   | /api/condition/bf9cd9e0-9a88-453b-a76b-075f5a13b5db | 0.000 | 0.104 | 11.220  | 0.008 | 0.012 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1395  | 0   | 1312 | 0   | 83  | 0   | POST   | /api/condition/954e8b4a-6394-42e1-bc91-c9bbe67cb6da | 0.000 | 0.104 | 11.112  | 0.008 | 0.008 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1399  | 0   | 1319 | 0   | 80  | 0   | POST   | /api/condition/c60ef27f-56a3-4a33-a4a2-dde5bd1c0329 | 0.000 | 0.104 | 10.936  | 0.008 | 0.012 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1395  | 0   | 1311 | 0   | 84  | 0   | POST   | /api/condition/a41b394b-175e-4f95-842d-b722af651d05 | 0.000 | 0.101 | 10.877  | 0.008 | 0.008 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1387  | 0   | 1305 | 0   | 82  | 0   | POST   | /api/condition/7d293fb3-65c1-4e16-9d0b-4d2cd1e255b2 | 0.000 | 0.100 | 10.868  | 0.008 | 0.008 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1397  | 0   | 1316 | 0   | 81  | 0   | POST   | /api/condition/9f953d77-bbda-47ae-8c56-9845a1d1fa1c | 0.032 | 0.128 | 10.728  | 0.008 | 0.008 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1404  | 0   | 1322 | 0   | 82  | 0   | POST   | /api/condition/30f781c2-ea5e-4e49-9dbe-2fd1a69592d3 | 0.000 | 0.112 | 10.600  | 0.008 | 0.008 | 0.100 | 0.100 | 0.025  | 0.000      | 14.000     | 14.000       | 0.010      |
| 1400  | 0   | 1326 | 0   | 74  | 0   | POST   | /api/condition/c2be34f7-8380-4595-a5a2-15d068895333 | 0.000 | 0.100 | 10.600  | 0.008 | 0.008 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1399  | 0   | 1327 | 0   | 72  | 0   | POST   | /api/condition/372ce8ea-1379-4739-b5a9-1b1825450019 | 0.000 | 0.108 | 10.584  | 0.008 | 0.008 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1411  | 0   | 1337 | 0   | 74  | 0   | POST   | /api/condition/77e2c7f9-cc1b-4fd5-a43c-c4612844ad6e | 0.016 | 0.104 | 10.580  | 0.007 | 0.008 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1394  | 0   | 1314 | 0   | 80  | 0   | POST   | /api/condition/dfc3330b-fd97-48c0-a172-24b1492f4f45 | 0.032 | 0.104 | 10.576  | 0.008 | 0.008 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1400  | 0   | 1331 | 0   | 69  | 0   | POST   | /api/condition/68d49c25-1051-4be1-beae-6bf68104abf5 | 0.000 | 0.100 | 10.332  | 0.007 | 0.008 | 0.096 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1409  | 0   | 1331 | 0   | 78  | 0   | POST   | /api/condition/b24b80ee-f972-4c46-8c95-c1220ec15b61 | 0.000 | 0.100 | 10.312  | 0.007 | 0.008 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1407  | 0   | 1335 | 0   | 72  | 0   | POST   | /api/condition/b0b30be0-dc88-4a4f-b851-137e38bbfb39 | 0.016 | 0.104 | 10.017  | 0.007 | 0.008 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 22    | 0   | 19   | 0   | 3   | 0   | GET    | /api/condition/c60ef27f-56a3-4a33-a4a2-dde5bd1c0329 | 0.088 | 1.001 | 8.413   | 0.382 | 1.000 | 1.000 | 1.001 | 0.286  | 3014.000   | 6283.000   | 115365.000   | 5243.864   |
| 15    | 0   | 13   | 0   | 2   | 0   | GET    | /api/condition/647dffc5-910c-4216-8258-f0e1e65bbe8f | 0.112 | 1.004 | 7.584   | 0.506 | 1.000 | 1.004 | 1.004 | 0.261  | 0.000      | 7183.000   | 93379.000    | 6225.267   |
| 20    | 0   | 13   | 0   | 7   | 0   | GET    | /api/condition/56a65de5-9960-431f-ab2d-8248bafdedfe | 0.048 | 1.001 | 6.957   | 0.348 | 0.684 | 0.960 | 1.001 | 0.273  | 3.000      | 7003.000   | 83688.000    | 4184.400   |
| 12    | 0   | 10   | 0   | 2   | 0   | GET    | /api/condition/1ba59168-2ef1-4098-a524-3e5bd4f9f6bf | 0.252 | 1.000 | 6.708   | 0.559 | 1.000 | 1.000 | 1.000 | 0.254  | 0.000      | 6343.000   | 63430.000    | 5285.833   |
| 9     | 0   | 7    | 0   | 2   | 0   | GET    | /api/condition/a41b394b-175e-4f95-842d-b722af651d05 | 0.432 | 1.004 | 5.872   | 0.652 | 1.004 | 1.004 | 1.004 | 0.199  | 0.000      | 6043.000   | 42301.000    | 4700.111   |
| 32    | 0   | 31   | 0   | 1   | 0   | GET    | /api/isu/8eb09f36-655e-44f5-81c2-0681d65552c1/icon  | 0.004 | 1.000 | 5.308   | 0.166 | 0.524 | 0.824 | 1.000 | 0.259  | 0.000      | 20376.000  | 631656.000   | 19739.250  |
| 13    | 0   | 12   | 0   | 1   | 0   | GET    | /api/isu/ebabc9c8-d8c6-41ff-b75a-d4303d03f849/graph | 0.084 | 1.000 | 5.012   | 0.386 | 0.728 | 1.000 | 1.000 | 0.270  | 4039.000   | 6728.000   | 64801.000    | 4984.692   |
| 10    | 0   | 10   | 0   | 0   | 0   | GET    | /api/condition/31e9820b-fb52-4fe9-a53a-8c3076463ba0 | 0.096 | 0.656 | 4.084   | 0.408 | 0.612 | 0.656 | 0.656 | 0.168  | 3.000      | 6283.000   | 52334.000    | 5233.400   |
| 11    | 0   | 10   | 0   | 1   | 0   | GET    | /api/condition/8eb09f36-655e-44f5-81c2-0681d65552c1 | 0.032 | 1.000 | 3.916   | 0.356 | 0.672 | 1.000 | 1.000 | 0.288  | 2923.000   | 6043.000   | 38996.000    | 3545.091   |
| 16    | 0   | 12   | 0   | 4   | 0   | GET    | /api/isu/8eb09f36-655e-44f5-81c2-0681d65552c1/graph | 0.008 | 0.888 | 3.800   | 0.237 | 0.452 | 0.888 | 0.888 | 0.224  | 14.000     | 5703.000   | 52982.000    | 3311.375   |
| 17    | 0   | 17   | 0   | 0   | 0   | GET    | /api/condition/30f781c2-ea5e-4e49-9dbe-2fd1a69592d3 | 0.012 | 0.576 | 3.784   | 0.223 | 0.484 | 0.576 | 0.576 | 0.151  | 3.000      | 6223.000   | 80781.000    | 4751.824   |
| 55    | 0   | 51   | 0   | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.140 | 3.776   | 0.069 | 0.100 | 0.112 | 0.140 | 0.025  | 15.000     | 148.000    | 7100.000     | 129.091    |
| 22    | 0   | 20   | 0   | 2   | 0   | GET    | /api/isu/b3c5d7d4-a55c-4fc5-85bd-287417354842/icon  | 0.004 | 1.000 | 3.596   | 0.163 | 0.252 | 1.000 | 1.000 | 0.274  | 45199.000  | 45199.000  | 903980.000   | 41090.000  |
| 22    | 0   | 19   | 0   | 3   | 0   | GET    | /api/isu/1ba59168-2ef1-4098-a524-3e5bd4f9f6bf/icon  | 0.024 | 1.000 | 3.580   | 0.163 | 0.412 | 0.428 | 1.000 | 0.228  | 112773.000 | 112773.000 | 2142722.000  | 97396.455  |
| 13    | 0   | 11   | 0   | 2   | 0   | GET    | /api/isu/9f953d77-bbda-47ae-8c56-9845a1d1fa1c/icon  | 0.004 | 1.000 | 3.576   | 0.275 | 1.000 | 1.000 | 1.000 | 0.346  | 18821.000  | 18821.000  | 207031.000   | 15925.462  |
| 9     | 0   | 9    | 0   | 0   | 0   | GET    | /api/isu/b698fd95-03b7-40ba-a5b4-4a1e02ebef70/graph | 0.208 | 0.568 | 3.528   | 0.392 | 0.568 | 0.568 | 0.568 | 0.110  | 3361.000   | 6407.000   | 45924.000    | 5102.667   |
| 31    | 0   | 30   | 0   | 1   | 0   | GET    | /api/isu/de2c2d55-84eb-40a2-bf93-419c12846f3d/icon  | 0.004 | 1.000 | 3.512   | 0.113 | 0.240 | 0.828 | 1.000 | 0.225  | 0.000      | 23664.000  | 709920.000   | 22900.645  |
| 14    | 0   | 0    | 0   | 14  | 0   | GET    | /api/isu/9e5c1109-beff-4598-b8f1-658d1994d55f/icon  | 0.004 | 1.000 | 3.480   | 0.249 | 1.000 | 1.000 | 1.000 | 0.332  | 0.000      | 14.000     | 168.000      | 12.000     |
| 12    | 0   | 12   | 0   | 0   | 0   | GET    | /api/condition/b0b30be0-dc88-4a4f-b851-137e38bbfb39 | 0.092 | 0.580 | 3.449   | 0.287 | 0.520 | 0.580 | 0.580 | 0.144  | 3.000      | 6535.000   | 65794.000    | 5482.833   |
| 18    | 0   | 16   | 0   | 2   | 0   | GET    | /api/isu/0ad00f02-3d9c-4bdb-adf2-d5093c9498aa/icon  | 0.048 | 1.521 | 3.317   | 0.184 | 0.556 | 1.521 | 1.521 | 0.347  | 14.000     | 8298.000   | 132803.000   | 7377.944   |
| 9     | 0   | 8    | 0   | 1   | 0   | GET    | /api/condition/b698fd95-03b7-40ba-a5b4-4a1e02ebef70 | 0.116 | 1.000 | 3.304   | 0.367 | 1.000 | 1.000 | 1.000 | 0.257  | 3.000      | 6334.000   | 43100.000    | 4788.889   |
| 13    | 0   | 13   | 0   | 0   | 0   | GET    | /api/condition/ebabc9c8-d8c6-41ff-b75a-d4303d03f849 | 0.104 | 0.456 | 3.285   | 0.253 | 0.424 | 0.456 | 0.456 | 0.097  | 3.000      | 6643.000   | 79217.000    | 6093.615   |
| 30    | 0   | 28   | 0   | 2   | 0   | GET    | /api/isu/05b77c24-847f-4072-98d2-122edc8159ea/icon  | 0.012 | 0.648 | 3.140   | 0.105 | 0.228 | 0.448 | 0.648 | 0.142  | 14.000     | 16227.000  | 454391.000   | 15146.367  |
| 3     | 0   | 1    | 0   | 2   | 0   | GET    | /api/isu/eb104b95-3532-4828-8550-89da717b9667       | 3.004 | 3.004 | 3.004   | 1.001 | 3.004 | 3.004 | 3.004 | 1.416  | 0.000      | 138.000    | 159.000      | 53.000     |
| 22    | 0   | 21   | 0   | 1   | 0   | GET    | /api/isu/f3788a51-9bcf-4bb7-ba6d-93007cfe6a58/icon  | 0.008 | 1.001 | 2.945   | 0.134 | 0.368 | 0.584 | 1.001 | 0.230  | 26336.000  | 26336.000  | 553056.000   | 25138.909  |
| 22    | 0   | 21   | 0   | 1   | 0   | GET    | /api/isu/af4dd2b8-1686-4a00-8bc2-5a9e7a9d7ced/icon  | 0.004 | 1.000 | 2.916   | 0.133 | 0.252 | 0.396 | 1.000 | 0.212  | 14137.000  | 14137.000  | 296877.000   | 13494.409  |
| 19    | 0   | 19   | 0   | 0   | 0   | GET    | /api/isu/39758daa-f681-42e1-b9c7-e8314452c0f5/icon  | 0.012 | 0.536 | 2.888   | 0.152 | 0.492 | 0.536 | 0.536 | 0.150  | 26057.000  | 26057.000  | 495083.000   | 26057.000  |
| 19    | 0   | 18   | 0   | 1   | 0   | GET    | /api/isu/c2be34f7-8380-4595-a5a2-15d068895333/icon  | 0.008 | 1.000 | 2.852   | 0.150 | 0.752 | 1.000 | 1.000 | 0.258  | 33236.000  | 33236.000  | 598248.000   | 31486.737  |
| 9     | 0   | 9    | 0   | 0   | 0   | GET    | /api/isu/c60ef27f-56a3-4a33-a4a2-dde5bd1c0329/graph | 0.172 | 0.464 | 2.844   | 0.316 | 0.464 | 0.464 | 0.464 | 0.099  | 4038.000   | 5726.000   | 45449.000    | 5049.889   |
| 12    | 0   | 0    | 0   | 12  | 0   | GET    | /api/isu/9e5c1109-beff-4598-b8f1-658d1994d55f/graph | 0.028 | 0.928 | 2.840   | 0.237 | 0.524 | 0.928 | 0.928 | 0.253  | 14.000     | 14.000     | 168.000      | 14.000     |
| 19    | 0   | 19   | 0   | 0   | 0   | GET    | /api/isu/372ce8ea-1379-4739-b5a9-1b1825450019/icon  | 0.008 | 0.544 | 2.688   | 0.141 | 0.448 | 0.544 | 0.544 | 0.166  | 8568.000   | 8568.000   | 162792.000   | 8568.000   |
| 21    | 0   | 19   | 0   | 2   | 0   | GET    | /api/isu/1b6187f8-312b-46b1-b3c5-1fecec43d86c/icon  | 0.796 | 0.796 | 2.680   | 0.128 | 0.264 | 0.356 | 0.796 | 0.175  | 14.000     | 19859.000  | 377356.000   | 17969.333  |
| 17    | 0   | 16   | 0   | 1   | 0   | GET    | /api/isu/dfc3330b-fd97-48c0-a172-24b1492f4f45/icon  | 0.008 | 1.000 | 2.620   | 0.154 | 0.364 | 1.000 | 1.000 | 0.236  | 6787.000   | 6787.000   | 108592.000   | 6387.765   |
| 20    | 0   | 20   | 0   | 0   | 0   | GET    | /api/isu/56a65de5-9960-431f-ab2d-8248bafdedfe/icon  | 0.004 | 0.444 | 2.580   | 0.129 | 0.376 | 0.408 | 0.444 | 0.141  | 26973.000  | 26973.000  | 539460.000   | 26973.000  |
| 13    | 0   | 13   | 0   | 0   | 0   | GET    | /api/isu/68d49c25-1051-4be1-beae-6bf68104abf5/icon  | 0.008 | 0.896 | 2.532   | 0.195 | 0.600 | 0.896 | 0.896 | 0.259  | 8531.000   | 8531.000   | 110903.000   | 8531.000   |
| 17    | 0   | 16   | 0   | 1   | 0   | GET    | /api/isu/ebabc9c8-d8c6-41ff-b75a-d4303d03f849/icon  | 0.012 | 1.000 | 2.520   | 0.148 | 0.352 | 1.000 | 1.000 | 0.232  | 25779.000  | 25779.000  | 412464.000   | 24262.588  |
| 13    | 0   | 13   | 0   | 0   | 0   | GET    | /api/isu/640dc4f0-5362-4736-8bda-9a5e48d05845/icon  | 0.016 | 0.896 | 2.516   | 0.194 | 0.576 | 0.896 | 0.896 | 0.258  | 70819.000  | 70819.000  | 920647.000   | 70819.000  |
| 13    | 0   | 13   | 0   | 0   | 0   | GET    | /api/isu/8c93c74e-2ef4-49a6-8ede-d57c53ca2b53/icon  | 0.004 | 0.636 | 2.496   | 0.192 | 0.584 | 0.636 | 0.636 | 0.221  | 135259.000 | 135259.000 | 1758367.000  | 135259.000 |
| 22    | 0   | 22   | 0   | 0   | 0   | GET    | /api/isu/7ab06d72-e930-450c-95a2-3bec84beab49/icon  | 0.004 | 0.584 | 2.488   | 0.113 | 0.264 | 0.308 | 0.584 | 0.135  | 6969.000   | 6969.000   | 153318.000   | 6969.000   |
| 15    | 0   | 13   | 0   | 2   | 0   | GET    | /api/isu/cd253b4d-6c0c-4066-9184-4d35398ce03c/icon  | 0.052 | 0.740 | 2.448   | 0.163 | 0.564 | 0.740 | 0.740 | 0.225  | 14.000     | 14447.000  | 187846.000   | 12523.067  |
| 22    | 0   | 22   | 0   | 0   | 0   | GET    | /api/isu/ea03ebbe-3397-44b8-80b6-61d73d1d1de9/icon  | 0.004 | 0.908 | 2.436   | 0.111 | 0.272 | 0.316 | 0.908 | 0.190  | 13988.000  | 13988.000  | 307736.000   | 13988.000  |
| 22    | 0   | 22   | 0   | 0   | 0   | GET    | /api/isu/ee10b933-8c51-4e77-a255-8045459e0660/icon  | 0.004 | 0.300 | 2.392   | 0.109 | 0.276 | 0.292 | 0.300 | 0.093  | 90471.000  | 90471.000  | 1990362.000  | 90471.000  |
| 25    | 0   | 25   | 0   | 0   | 0   | GET    | /api/isu/c60ef27f-56a3-4a33-a4a2-dde5bd1c0329/icon  | 0.004 | 0.312 | 2.360   | 0.094 | 0.196 | 0.204 | 0.312 | 0.074  | 17244.000  | 17244.000  | 431100.000   | 17244.000  |
| 23    | 0   | 23   | 0   | 0   | 0   | GET    | /api/isu/b698fd95-03b7-40ba-a5b4-4a1e02ebef70/icon  | 0.008 | 0.316 | 2.340   | 0.102 | 0.208 | 0.228 | 0.316 | 0.083  | 14374.000  | 14374.000  | 330602.000   | 14374.000  |
| 19    | 0   | 19   | 0   | 0   | 0   | GET    | /api/isu/954e8b4a-6394-42e1-bc91-c9bbe67cb6da/icon  | 0.004 | 0.436 | 2.308   | 0.121 | 0.304 | 0.436 | 0.436 | 0.111  | 30652.000  | 30652.000  | 582388.000   | 30652.000  |
